"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07"
"Honolulu County","HI","Urban Honolulu","15","003",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3450,3250,3425,3450,3200,3400,3150,3100,3100,2900,2800,2800,2742.5,2550,2700,3075,3000,3212.5,3300,3200,2975,3000,3250,2922,3050,3000,2900,2995,2800,2500,2600,2900,2850,2550,2677,3000,2880,3000,2700,2700,2650,2682,2675,2675,2800,2800,2700,2664,2525,2695,2600,2595,2500,2500,2632,2650,2697.5,2665.5,2537.5,2500,2500,2500,2500,2600,2600,2665.5,2625,2657,2700,2500,2657,2700
"Milwaukee County","WI","Milwaukee-Waukesha-West Allis","55","079",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.5,900,980,1125,1175,1112.5,1040,1025,1052.5,950,997.5,1025,950,962.5,1050,1025,1100,1062.5,1037.5,985,985,1000,1050,1050,1067.5,1100,1100,1100,1175,1150,1062.5
"Shelby County","TN","Memphis","47","157",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1512.5,1495,1435,1295,1265,1195,1200,1295,1285,1297,1395,1300
"Fulton County","GA","Atlanta-Sandy Springs-Roswell","13","121",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2400,2750,2800,2800,2722.5,2600,2600,2500,2300,2400,2500,2697.5,2700,2500,2647.5,3000,2695,2750,2850,2400,2400,2697.5,2695,2700,2800,3050,3000,2750,2950,2750,2800,2700,2774,2697.5,2750,2800,2697.5,2800,2800,2795,2750,2700,2830,2695,2695,2572.5,2600,2795,3000,2750,2750
"Mecklenburg County","NC","Charlotte-Concord-Gastonia","37","119",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1800,1795,2025,2195,1872.5,1900,1995,1800,1895,1997.5,2025,2200,2075,1965,2150,2100,2050,2000,2000,2050,2137.5,2262.5,2100,2260,2100,1900,1797.5,2075,2100,2095,2200,2172.5,2137.5,2100,2100,2100,2345,2295,2197,2245,2145,2147.5,2085,2107.5,2047.5,2107.5,2120,2050,2145,2095,2322.5,2200,2200,2197.5,2200,2162.5,2150,2172.5,2100,2200,2267.5,2300,2314,2314
"Erie County","NY","Buffalo-Cheektowaga-Niagara Falls","36","029",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.5,800,800,750,750,837.5,850,800,725,780,800,800,800,797.5,800,925,850,800,895,850,897.5,860,850,900,900,850,975,950,1000,975,1000,975,950,900,900,950,900,950,950,950,977.5,975,1000,950,990,950,950,950,950,975,1000,1000,1025,1065,1035,1000,1000,975,950,900,950,997.5,1000,1050,1000,1000,1000
"Hartford County","CT","Hartford-West Hartford-East Hartford","09","003",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1275,1200,1200,1200,1200,1200,1185,1100,1100,1200,1100,1200,1200,1300,1300,1200,1250,1275,1295,1295,1300,1350,1350,1350,1350,1385,1350,1300,1275,1300,1300,1300,1275,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1337.5
"Duval County","FL","Jacksonville","12","031",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1736.5,1600,1572.5,1600,1675,1595,1595,1750,1835,1747.5,1672.5,1650,1550,1650,1666.5,1650,1547.5,1645,1625,1625,1525,1597.5,1672.5,1650,1790,1700,1650,1675,1595,1600,1625,1625,1672.5,1695,1749,1850,1749,1900,1845,1825,1722.5,1695,1749.5,1672.5,1650,1600,1650,1650,1750,1702.5,1945,1850,1972.5,1845,1975,1850,1807.5,1820,1627.5,1615,1695,1650,1913,1775,1700,1793,1650,1682.5,1500,1661.5,1650,1800,1897.5,1755,1650,1720
"New Haven County","CT","New Haven-Milford","09","009",39,975,895,950,950,962.5,1000,1100,1050,1000,975,975,975,950,950,1025,1000,975,1000,1065,1090,1100,1100,1025,1012.5,1037.5,1012.5,1000,1012.5,1100,1100,1100,1100,1050,1100,1100,1050,1000,1065,1050,1050,1050,1075,1100,1050,1065,1050,1025,1050,1050,1050,1097.5,1000,1100,1100,1100,1065,1075,1050,1100,1150,1150,1150,1125,1100,1100,1112.5,1125,1100,1100,1100,1100,1150,1100,1150,1200,1100,1150,1100,1200,1100,1100,1100,1100,1150,1200,1250,1200,1250,1250,1250,1262.5,1250,1250,1245,1200,1200,1300,1300,1300,1350,1385,1385,1374.5,1275,1200,1250,1300,1250,1300,1300,1262.5,1300,1300,1350
"Ventura County","CA","Oxnard-Thousand Oaks-Ventura","06","111",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3950,3950,4197.5,4000,3850,3900,4200,4172.5,3950,3700,3862.5,3800,3850,4000,3972.5,4000,4100,4100,4300,4750,4500,3995,4074,4275,4250,4200,4000,4200,4275,4275,3975
